#Station Number    Run    Start    End    Run Type    antennaIceA#I1    antennaIceB#I1    opIceA#I1    opIceB#I1    attIceA#I1    attIceB#I1    Run_Start_Type    Run_End_Type    enableExtTrigger#I1    Quality    aComment    uComment
ARA01  10469   1519482065   1519503666       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10470   1519503667   1519525268       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10472   1519526305   1519547906       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10473   1519547908   1519569509       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10474   1519569511   1519591112       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10476   1519605424   1519627025       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10477   1519627027   1519632207       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10478   1519632208   1519638390       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10479   1519638391   1519659992       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10480   1519659994   1519681595       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10482   1519682630   1519704231       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10483   1519704233   1519725834       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10484   1519725836   1519747437       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10485   1519747439   1519769040       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10487   1519770074   1519791675       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10488   1519791676   1519813277       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10489   1519813279   1519834880       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10490   1519834882   1519856483       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10492   1519857521   1519879122       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10493   1519879124   1519900725       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10494   1519900727   1519922328       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10495   1519922329   1519938160       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10497   1519939196   1519960797       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10498   1519960799   1519966017       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10499   1519966019   1519987620       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10500   1519987622   1520002257       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10502   1520003268   1520024869       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10503   1520024871   1520046472       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10504   1520046474   1520068075       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10505   1520068077   1520089678       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10507   1520090712   1520112313       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10508   1520112315   1520133916       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10509   1520133918   1520147500       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10510   1520147502   1520169103       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10512   1520170139   1520191740       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10513   1520191742   1520213343       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10514   1520213345   1520234946       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10515   1520234948   1520256549       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10517   1520257584   1520279185       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10519   1520292707   1520314308       Data  1  0  1  0  7  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10520   1520314310   1520335911       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10521   1520335913   1520357514       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10522   1520357516   1520379117       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10523   1520379119   1520400720       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10525   1520401755   1520423356       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10526   1520423358   1520429388       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10527   1520429390   1520450991       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10528   1520450993   1520472594       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10530   1520473629   1520487675       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10531   1520487677   1520509278       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10532   1520509280   1520530881       Data  1  0  1  0  7  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10534   1520551789   1520557969       Data  1  0  1  0  7  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
